ORBIT NUMBER  PERIGEE TIME             PERIGEE R_GSM     PERIGEE X_GSM        PERIGEE Y_GSM        PERIGEE Z_GSM        APOGEE TIME              APOGEE R_GSM      APOGEE X_GSM         APOGEE Y_GSM         APOGEE Z_GSM         
99            2015-12-08T18:03:24.077  7625.9873046875   -7561.65869140625    763.542236328125     627.6873168945312    2015-12-08T06:06:24.077  76588.1796875     75924.1953125        -7879.96533203125    -6258.73681640625    
100           2015-12-09T17:56:54.077  7620.9306640625   -7543.59619140625    880.4585571289062    630.500244140625     2015-12-09T05:59:54.077  76594.859375      75793.265625         -9086.984375         -6291.23291015625    
101           2015-12-10T17:50:24.077  7619.4453125      -7524.396484375      1019.432861328125    632.5872802734375    2015-12-10T05:53:24.077  76598.390625      75640.515625         -10287.8505859375    -6323.48095703125    
102           2015-12-11T17:43:54.077  7622.5546875      -7507.224609375      1158.253662109375    635.1115112304688    2015-12-11T05:46:54.077  76597.34375       75464.453125         -11483.7998046875    -6355.4521484375     
103           2015-12-12T17:37:24.077  7630.03076171875  -7496.21826171875    1271.0302734375      639.1876831054688    2015-12-12T05:40:24.077  76591.3125        75264.40625          -12676.896484375     -6387.08837890625    
104           2015-12-13T17:30:54.077  7640.505859375    -7494.87939453125    1336.97412109375     645.4557495117188    2015-12-13T05:33:54.077  76581.296875      75040.90625          -13869.4794921875    -6418.31396484375    
105           2015-12-14T17:23:54.055  7650.9912109375   -7446.865234375      1633.8958740234375   642.0685424804688    2015-12-14T05:27:24.077  76569.421875      74795.6484375        -15063.1171875       -6449.04833984375    
106           2015-12-15T17:17:24.055  7660.017578125    -7463.74609375       1594.5772705078125   652.4489135742188    2015-12-15T05:20:24.055  76558.2890625     74524.9453125        -16286.166015625     -6478.08447265625    
107           2015-12-16T17:10:24.055  7671.34130859375  -7411.49560546875    1869.235595703125    652.044677734375     2015-12-16T05:13:54.055  76550.0625        74242.625            -17481.220703125     -6507.80126953125    
108           2015-12-17T17:03:24.055  7685.16552734375  -7400.45263671875    1965.5780029296875   656.9419555664062    2015-12-17T05:06:54.055  76527.4609375     73919.2890625        -18694.01171875      -6551.689453125      
109           2015-12-18T16:56:24.055  7683.494140625    -7341.57275390625    2169.468994140625    656.3529663085938    2015-12-18T04:59:54.055  76527.8359375     73598.4765625        -19912.783203125     -6576.8388671875     
110           2015-12-19T16:49:54.055  7678.6748046875   -7351.5322265625     2115.289794921875    665.25927734375      2015-12-19T04:53:24.055  76531.4765625     73269.8515625        -21094.20703125      -6605.34521484375    
111           2015-12-20T16:42:54.055  7673.212890625    -7267.7783203125     2370.3935546875      662.4429321289062    2015-12-20T04:46:24.055  76537.09375       72917.0546875        -22294.3984375       -6632.5546875        
112           2015-12-21T16:36:24.034  7668.12353515625  -7259.50732421875    2377.513671875       668.6583862304688    2015-12-21T04:39:24.055  76542.9140625     72546.234375         -23484.263671875     -6659.54150390625    
113           2015-12-22T16:29:54.034  7665.59228515625  -7246.16357421875    2408.37255859375     673.9140625          2015-12-22T04:32:54.034  76547.2734375     72165.1953125        -24636.390625        -6687.23291015625    
114           2015-12-23T16:22:54.034  7665.3974609375   -7133.1669921875     2725.3671875         669.7977905273438    2015-12-23T04:26:24.034  76548.84375       71764.25             -25778.529296875     -6714.53662109375    
115           2015-12-24T16:16:24.034  7668.3623046875   -7120.75439453125    2764.521484375       675.32080078125      2015-12-24T04:19:54.034  76546.9453125     71342.4453125        -26911.7734375       -6741.39404296875    
116           2015-12-25T16:09:54.034  7674.71875        -7118.107421875      2787.39501953125     681.37646484375      2015-12-25T04:12:54.034  76541.609375      70888.890625         -28064.08203125      -6766.90283203125    
117           2015-12-26T16:02:54.034  7682.865234375    -7017.51953125       3052.57421875        680.163330078125     2015-12-26T04:06:24.034  76533.4921875     70424.3125           -29183.033203125     -6792.7958984375     
118           2015-12-27T15:56:24.034  7692.169921875    -7042.75732421875    3015.898193359375    688.0470581054688    2015-12-27T03:59:24.034  76523.7109375     69928.0859375        -30322.646484375     -6817.3935546875     
119           2015-12-28T15:49:24.034  7700.859375       -6964.86669921875    3212.328857421875    689.0664672851562    2015-12-28T03:52:54.034  76513.5859375     69423.453125         -31430.8046875       -6842.34375          
120           2015-12-29T15:42:24.034  7708.55029296875  -6894.66357421875    3377.583740234375    690.8599853515625    2015-12-29T03:45:54.034  76504.3984375     68888.546875         -32559.9140625       -6866.1328125        
121           2015-12-30T15:35:24.034  7714.1435546875   -6829.35498046875    3519.598388671875    693.0714111328125    2015-12-30T03:38:54.034  76497.1484375     68335.984375         -33682.94140625      -6889.57666015625    
122           2015-12-31T15:28:24.034  7717.068359375    -6764.6044921875     3648.255859375       695.33837890625      2015-12-31T03:31:54.034  76492.5625        67766.9453125        -34798.96875         -6912.70849609375    
123           2016-01-01T15:21:24.284  7717.2138671875   -6696.20751953125    3772.2451171875      697.39501953125      2016-01-01T03:24:54.034  76490.9765625     67182.3125           -35906.87890625      -6935.54052734375    
124           2016-01-02T15:14:24.284  7714.97705078125  -6615.97412109375    3906.572021484375    698.890869140625     2016-01-02T03:17:54.284  76492.296875      66583.0              -37004.859375        -6958.083984375      
125           2016-01-03T15:07:54.283  7710.39453125     -6666.9638671875     3808.424072265625    705.4620361328125    2016-01-03T03:11:24.283  76496.0234375     65983.4921875        -38066.87109375      -6980.9072265625     
126           2016-01-04T15:00:54.283  7705.1689453125   -6554.5634765625     3988.679931640625    705.5194091796875    2016-01-04T03:04:24.283  76501.1484375     65355.59765625       -39141.1875          -7002.81640625       
127           2016-01-05T14:53:54.283  7701.45361328125  -6419.08447265625    4196.48876953125     705.14013671875      2016-01-05T02:57:24.283  76506.2578125     64712.69140625       -40201.14453125      -7024.42138671875    
128           2016-01-06T14:47:24.283  7699.509765625    -6423.8408203125     4184.89697265625     709.4817504882812    2016-01-06T02:50:54.283  76509.53125       64069.11328125       -41221.44921875      -7046.193359375      
129           2016-01-07T14:40:54.283  7702.53271484375  -6424.46337890625    4188.81494140625     713.5150146484375    2016-01-07T02:43:54.283  76509.2109375     63392.4375           -42250.60546875      -7067.14990234375    
130           2016-01-08T14:33:54.283  7709.1572265625   -6269.9755859375     4428.16259765625     714.0669555664062    2016-01-08T02:37:24.283  76504.046875      62712.29296875       -43241.12890625      -7088.21435546875    
131           2016-01-09T14:27:24.283  7720.89111328125  -6303.1123046875     4400.650390625       719.1754150390625    2016-01-09T02:30:24.283  76493.9765625     61995.03515625       -44242.64453125      -7108.52490234375    
132           2016-01-10T14:20:24.283  7733.7080078125   -6200.32470703125    4565.681640625       721.6395263671875    2016-01-10T02:23:24.283  76480.3984375     61256.3203125        -45233.828125        -7128.48291015625    
